#timestamp.	ozone_ppb	temperature	humidity	latitude	longitude
1392420228.263	13.69786247	3	63	4722.06904	829.72442
1392420228.208	24.28490884	2	65	4722.17273	832.34426
1392420216.156	32.75435455	12	52	4723.48102	831.29644
1392420209.209	14.27229705	2	67	4723.27275	831.60933
1392420201.393	14.27956863	3	66	4722.58914	832.09388
1392420198.258	13.11474695	3	63	4722.07343	829.741
1392420198.198	24.28490884	2	66	4722.16673	832.3616
1392420186.192	32.75435455	12	52	4723.48973	831.29755
1392420179.532	14.27229705	2	67	4723.21175	831.73042
1392420171.579	14.27956863	3	66	4722.57359	832.06146
1392420168.262	13.11474695	3	63	4722.07298	829.74035
1392420168.206	24.28490884	2	66	4722.11256	832.37986
1392420156.162	32.75435455	12	52	4723.49259	831.30045
1392420149.337	14.27229705	2	67	4723.18107	831.74936
1392420141.240	14.36906774	3	66	4722.49526	831.97077
1392420138.257	12.72600326	3	64	4722.08254	829.74925
1392420138.175	24.26275313	2	66	4722.08187	832.39724
1392420126.198	32.75435455	12	52	4723.48841	831.29994
1392420119.483	14.49123451	2	66	4723.09239	831.88105
1392420111.580	14.36906774	3	66	4722.40266	831.89369
1392420108.203	12.72600326	3	64	4722.11174	829.91416
1392420108.185	24.26275313	2	66	4722.01089	832.42349
1392420096.209	32.75435455	12	52	4723.48841	831.2977
1392420089.199	14.49123451	2	66	4723.06948	831.89902
1392420081.349	14.63756506	3	65	4722.40616	831.83715
1392420078.242	12.53163142	3	64	4722.13989	830.11297
1392420078.178	24.28490884	2	66	4721.9907	832.47343
1392420066.180	32.75435455	12	52	4723.4873	831.30254
1392420059.264	14.60070324	2	68	4723.01862	831.96405
1392420051.583	14.63756506	3	65	4722.41252	831.79998
1392420048.296	12.53163142	3	64	4722.1377	830.11476
1392420048.219	24.28490884	2	66	4722.0004	832.50969
1392420036.157	32.75435455	12	52	4723.4818	831.30242
1392420029.202	14.60070324	2	68	4722.93733	832.08289
1392420021.565	14.90606237	3	64	4722.41024	831.79333
1392420018.239	24.30706456	2	65	4722.02457	832.6725
1392420018.228	12.53163142	3	65	4722.15927	830.30923
1392420006.202	32.75435455	12	52	4723.47904	831.30035
1392419999.392	14.81964071	2	69	4722.91103	832.11348
1392419991.589	14.90606237	3	64	4722.39505	831.69305
1392419988.232	12.53163142	3	65	4722.16914	830.38561
1392419988.181	24.30706456	2	65	4722.02571	832.69511
1392419976.287	32.75435455	12	52	4723.47363	831.29741
1392419969.434	14.81964071	2	69	4722.82143	832.23911
1392419966.591	14.99556148	3	63	4722.43243	831.57149
1392419958.202	12.48303846	3	64	4722.18735	830.51423
1392419958.166	24.32922027	2	64	4722.02874	832.68807
1392419946.189	32.75435455	12	52	4723.48542	831.29718
1392419939.371	15.03857817	2	69	4722.79361	832.24998
1392419931.787	14.99556148	3	63	4722.44165	831.53809
1392419928.202	12.48303846	3	64	4722.19083	830.56754
1392419928.174	24.32922027	2	64	4722.06645	832.73659
1392419915.700	32.75435455	12	52	4723.47143	831.29273
1392419909.218	15.03857817	2	69	4722.76725	832.26634
1392419902.149	14.99556148	3	63	4722.45218	831.44144
1392419898.209	12.48303846	3	64	4722.21479	830.80025
1392419898.173	24.41784313	2	63	4722.09265	832.80062
1392419885.682	32.75435455	12	52	4723.49085	831.2987
1392419879.223	15.1480469	2	70	4722.7239	832.39866
1392419871.602	14.99556148	3	63	4722.46746	831.27631
1392419868.178	24.41784313	2	63	4722.15191	832.88229
1392419868.178	12.53163142	3	63	4722.21859	830.83462
1392419855.669	32.75435455	12	52	4723.48954	831.29724
1392419849.230	15.1480469	2	70	4722.69548	832.49447
1392419841.357	14.99556148	3	63	4722.47463	831.25703
1392419838.189	12.53163142	3	63	4722.24632	831.00492
1392419838.185	24.48431028	2	62	4722.22509	832.94354
1392419826.152	32.75435455	12	52	4723.48808	831.29511
1392419819.229	15.4764531	2	68	4722.67103	832.50648
1392419811.290	14.99556148	3	63	4722.49729	831.16657
1392419808.188	24.48431028	2	62	4722.25687	832.97791
1392419808.178	12.53163142	3	63	4722.20395	831.14042
1392419795.582	32.75435455	12	52	4723.48714	831.29108
1392419789.232	15.4764531	2	68	4722.66001	832.50669
1392419781.166	14.99556148	3	63	4722.52191	831.08147
1392419778.251	12.53163142	3	63	4722.20622	831.16321
1392419778.183	24.46215456	2	63	4722.33405	833.03523
1392419765.592	32.75435455	12	52	4723.47784	831.29395
1392419759.272	15.8048593	2	69	4722.61933	832.53326
1392419751.479	15.0850665	2	64	4722.52908	831.04745
1392419748.181	12.48303846	3	65	4722.22802	831.30165
1392419748.168	24.46215456	2	63	4722.37889	833.01593
1392419735.642	32.75435455	12	52	4723.46902	831.29171
1392419729.218	15.8048593	2	69	4722.61738	832.54967
1392419721.299	15.0850665	2	64	4722.56948	830.90629
1392419718.257	12.48303846	3	65	4722.28121	831.43853
1392419718.186	24.48431028	2	63	4722.4542	832.98651
1392419705.713	32.75435455	12	52	4723.46596	831.29262
1392419699.273	16.35220296	2	70	4722.59903	832.61581
1392419691.227	15.78688174	2	64	4722.60646	830.81748
1392419688.201	24.48431028	2	63	4722.5265	832.95416
1392419688.192	12.53163142	3	68	4722.29721	831.48181
1392419675.782	32.75435455	12	52	4723.45367	831.28727
1392419669.427	16.35220296	2	70	4722.5922	832.61835
1392419661.527	15.78688174	2	64	4722.6802	830.65103
1392419658.188	24.59508885	2	63	4722.60829	832.9168
1392419658.185	12.53163142	3	68	4722.32726	831.58227
1392419646.162	32.75435455	12	52	4723.37216	831.25781
1392419639.199	17.00901535	2	69	4722.52059	832.60053
1392419631.284	17.0150584	2	65	4722.69057	830.61026
1392419628.274	12.58022438	3	67	4722.36561	831.6174
1392419628.189	24.59508885	2	63	4722.63272	832.89922
1392419615.489	32.75435455	12	52	4723.39985	831.26998
1392419609.182	17.00901535	2	69	4722.44154	832.57571
1392419601.281	17.0150584	2	65	4722.67017	830.47421
1392419598.237	12.58022438	3	67	4722.40728	831.72191
1392419598.174	24.61724457	2	62	4722.71171	832.88644
1392419585.513	32.75435455	12	52	4723.4631	831.30015
1392419579.444	16.79007789	2	69	4722.43652	832.57507
1392419571.349	18.41868888	2	63	4722.65868	830.42678
1392419568.192	12.62881734	3	67	4722.42558	831.76997
1392419568.191	24.61724457	2	62	4722.82011	832.88906
1392419555.608	32.75435455	12	52	4723.49258	831.31454
1392419549.147	16.79007789	2	69	4722.35964	832.56797
1392419541.279	18.41868888	2	63	4722.64697	830.18119
1392419538.178	12.62881734	3	67	4722.42666	831.77313
1392419538.172	24.57293314	2	62	4722.90229	832.88818
1392419525.582	32.75435455	12	52	4723.47875	831.30549
1392419519.246	16.1332655	2	70	4722.32216	832.56881
1392419511.486	18.33096197	2	64	4722.64739	829.94095
1392419508.201	24.57293314	2	62	4722.99141	832.89034
1392419508.175	12.58022438	3	67	4722.43637	831.80884
1392419495.479	32.75435455	12	52	4723.46709	831.29963
